TCM_symptom_id,TCM_symptom_name,Symptom_pinYin,Symptom_definition,Symptom_locus,Symptom_property,Type,Version,Suppress
1742,产后发热,Chan Hou Fa Re,产后发热是指产褥期内，出现发热持续不退，或低热持续，或突然高热寒战，并伴有其他症状者。,机体,,Ontological terms,v2,0
1743,产后手足浮肿,Chan Hou Shou Zu Fu Zhong,产后手足浮肿，指产妇分娩后出现四肢末端（手、足）肿胀之症。临床表现为手足按之凹陷，或皮色光亮，活动不利，常伴倦怠乏力、纳差、小便短少等。其病因多系产后气血骤虚，气化失司，水湿内停；或瘀血阻滞，水道不通，泛溢肌肤所致。,,,Ontological terms,v2,0
1744,产后无乳,Chan Hou Wu Ru,生产后，产妇乳汁少，或无乳汁分泌。,乳房,脾虚;肝郁气滞、瘀血阻络,Ontological terms,v2,0
1745,产后淤阻,Chan Hou Yu Zu,产后淤阻，指产妇分娩后，恶露排出不畅或停滞不下，瘀血内阻胞宫所致之证候。临床表现为小腹疼痛拒按，恶露量少、色紫暗有块，或伴发热、口渴不欲饮，舌紫暗或有瘀点，脉沉涩。其病机多因产时受寒，或情志不畅，气滞血瘀，或气虚推动无力，致瘀血留滞胞宫，冲任受阻。,,,Ontological terms,v2,0
1746,产后瘀滞,Chan Hou Yu Zhi,产后瘀滞，指产妇分娩后，恶露排出不畅或停滞不下，瘀血内阻胞宫所致之证候。临床多见小腹疼痛拒按、恶露量少色暗有块、或伴发热、舌紫暗有瘀点、脉弦涩。其病机多因产时耗气伤血，气虚推动无力，或感寒凝滞，或情志郁结，致血行不畅，瘀阻胞脉。,,,Ontological terms,v2,0
1747,产后瘀滞腹痛,Chan Hou Yu Zhi Fu Tong,产后瘀滞腹痛是指产妇分娩后，恶露排出不畅或瘀血内阻胞宫，以致小腹疼痛拒按、痛处固定、得热稍减、恶露量少色暗有块、块下痛减为主要表现的病证。其病机多因产时感寒、气滞或气虚运血无力，致瘀血留滞胞脉，不通则痛。,,,Ontological terms,v2,0
1748,产后瘀血,Chan Hou Yu Xie,产后瘀血，指妇人产后恶露不下或下而不畅，瘀血内阻胞宫之证。临床表现为小腹疼痛拒按，恶露量少、色紫暗有块，或伴发热、口渴不欲饮，舌紫暗或有瘀点，脉沉涩。多因产时感寒、气滞或气虚，致血行不畅，瘀滞胞脉而成。,,,Ontological terms,v2,0
1749,产后瘀血腹痛,Chan Hou Yu Xie Fu Tong,产后瘀血腹痛是指新产后恶露排出不畅，瘀血内阻胞宫，以致小腹疼痛拒按、痛处固定不移、得热稍减、恶露量少或夹有血块、块下痛减，常伴面色晦暗、舌紫暗或有瘀点、脉沉涩或弦涩。其病机多因产时感寒、气滞或劳伤，致血行不畅，瘀滞胞脉，不通则痛。,,,Ontological terms,v2,0
1750,产后瘀阻,Chan Hou Yu Zu,产后瘀阻，指产后恶露排出不畅，或瘀血内停胞宫所致之证候。临床表现为小腹疼痛拒按，恶露量少、色紫暗有块，或伴发热、口渴不欲饮，舌紫暗或有瘀点，脉弦涩。其病机多因产时受寒，或气滞血瘀，致瘀血阻滞胞脉，气血运行不畅。,,,Ontological terms,v2,0
1751,产后瘀阻腹痛,Chan Hou Yu Zu Fu Tong,产后瘀阻腹痛，指新产后恶露排出不畅，瘀血内阻胞宫所致之小腹疼痛。其痛多呈刺痛或胀痛，痛处固定不移，拒按，得热稍减，伴恶露量少、色紫暗有块，或块下痛减。病机为产后胞脉空虚，寒邪乘袭或气滞血瘀，致瘀血阻滞冲任，不通则痛。,,,Ontological terms,v2,0
1752,产后缺乳,Chan Hou Que Ru,生产后，产妇乳汁少，或无乳汁分泌。,乳房,脾虚;肝郁气滞、瘀血阻络,Ontological terms,v2,0
1753,产后血虚发热,Chan Hou Xie Xu Fa Re,产后血虚发热，指新产之后，因失血过多，阴血骤虚，阳气浮越于外所致之发热。其热多为低热，朝凉暮热，或午后潮热，伴面色萎黄或㿠白，头晕心悸，神疲乏力，自汗或盗汗，恶露量少色淡。病机乃血虚不能濡养脏腑，阴不维阳，虚阳外越而发热。治当补血益气，引火归原，方如圣愈汤或当归补血汤加减。,,,Ontological terms,v2,0
1754,伤酒,Shang Jiu,伤酒，病证名。饮酒过度所致的病证。一名酒伤。见《证治要诀·伤酒》。《诸病源候论》卷二：“酒性有毒，而复大热，饮之过多，故毒热气渗溢经络，浸溢腑脏，而生诸病也。”证见头晕头痛，胸膈痞塞，恶心呕吐，躁动或昏睡等。治宜利湿化浊以解酒毒，轻者用葛根、葛花、枳椇子、神曲、黄连、白蔻仁，甚者用甘遂、黑牵牛子等药。《景岳全书·杂证谟》谓饮酒致伤，有三证不可不辨：一以酒湿伤脾，致生痰逆呕吐，胸膈痞塞，饮食减少，宜葛花解酲汤、胃苓汤、五苓散之类主之。一以酒热伤阴，或致发热动血者，宜黄芩芍药汤、清化饮、徙薪饮之类主之。一以酒质伤脏，致生泄泻不已，若气强力壮者，用五苓散、胃苓汤之类除湿止泻；若因湿生寒以泻伤阴致损命门阳气者，胃关煎、五德丸、九炁丹之类。伤酒严重，可成癥积、黄疸、鼓胀。参见酒癖、酒疸、水鼓、伤食、伤饮各条。,,,Ontological terms,v2,0
1755,伤酒口渴,Shang Jiu Kou Ke,伤酒口渴，指因饮酒过度，酒性辛热，耗伤胃阴，或蕴湿生热，上蒸于口所致之口干欲饮。症见口渴引饮，或伴口苦、舌苔黄腻，甚则心中懊憹。其病机为酒毒湿热内蕴，津液输布失常，或酒热灼伤胃津，故见口渴。,,,Ontological terms,v2,0
1756,伤酒吐血,Shang Jiu Tu Xie,伤酒吐血，病证名。因饮酒过度，伤胃而致吐血之证。见《医钞类编》卷七。《金匮要略·惊悸吐衄下血胸满瘀血病脉证并治》：“夫酒客咳者，必致吐血，此因极饮过度所致也。”治宜清胃解酲，用徙薪饮、清化饮、葛黄丸、葛花解酲汤加黄连、丹皮等。此症即肺疽之属，亦称伤胃吐血。参见肺疽、伤胃吐血、内伤吐血等条。,,,Ontological terms,v2,0
1757,伤食,Shang Shi,伤食，病证名。因饮食不当损伤脾胃所致的病证。见《丹溪心法·伤食》。一名食伤。治疗伤食须辨虚实。若停滞中焦或胀或痛，为实证，当先去其食，大和中饮主之。若食停上焦，宜用吐法；若食停下焦，痛极兼胀者，须下而去之，宜神佑丸或备急丸。《景岳全书·杂证谟》老人虚人易于伤食，治宜权衡虚实，消补兼施。伤食有伤谷、伤面、伤肉、伤鱼鳖、伤蟹、伤蛋、伤生冷果菜、伤酒、伤茶、宿食、宿滞、五味过伤等，详见各条。,,,Ontological terms,v2,0
1758,伤食腹痛腹泻,Shang Shi Fu Tong Fu Xie,伤食腹痛腹泻，指因饮食不节，宿食停滞胃肠，气机阻滞，传导失常所致之腹痛、腹泻。症见脘腹胀满疼痛，痛则欲泻，泻后痛减，大便酸臭或如败卵，嗳腐吞酸，不思饮食，舌苔厚腻，脉滑实。其病机为食积内停，壅塞肠道，腑气不通则痛；腐浊下迫则泻。,,,Ontological terms,v2,0
1759,体倦乏力,Ti Juan Fa Li,体倦乏力是指患者自觉身体困倦、精神疲惫、肢体懈怠无力，动则尤甚的一种症状。其临床表现常伴少气懒言、声低息微、不耐劳作。病因病机多由脾胃虚弱，气血生化不足；或久病耗伤，元气亏虚；或湿浊困阻，气机不畅，致肌肉筋脉失于濡养所致。,,,Ontological terms,v2,0
1760,体虱,Ti Shi,体虱是虱子病的一种，主要是在人身体上，寄生在毛囊里面，靠吸食血液为生！由于没有发现过虱子化石，因此我们只能推测它的起源。我们知道古埃及人和希腊人写的，他们发现了史前美洲印第安人木乃伊。在这木乃伊身上发现了三种虱子：头虱，体虱和阴虱。,,,Ontological terms,v2,0
1761,作喘,Zuo Chuan,作喘，指呼吸急促，张口抬肩，难以平卧之症。其临床表现以气息急促、喉中痰鸣或无声，甚则鼻翼煽动、唇甲青紫为特征。多因外邪袭肺、痰浊内阻、肝气上逆或肾不纳气，致肺气壅塞或肾失摄纳，气机升降失常而作。,,,Ontological terms,v2,0
1762,便塘,Bian Tang,便溏，指大便稀薄、不成形，甚则如水样，但排便次数可正常或稍增。其状如鸭粪，质软而黏滞，常伴腹胀、纳呆。多因脾虚失运，水湿内停，下注大肠所致；或由湿邪困脾、肝郁乘脾、命门火衰等引起，病机总属脾运失常，清浊不分。,,,Ontological terms,v2,0
1763,偏正头痛,Pian Zheng Tou Tong,偏正头痛是指头痛部位偏于一侧（偏头痛）或痛在前额、巅顶、后枕等正中部位（正头痛）的统称。临床表现为阵发性或持续性疼痛，可呈胀痛、刺痛、掣痛或空痛，常伴恶心、眩晕、目胀等症。其病因病机多由外感风、寒、湿、热之邪，或内伤肝阳上亢、痰浊中阻、瘀血阻络、气血亏虚，导致清阳不升、浊阴不降，经络闭阻，脑窍失养而发。,,,Ontological terms,v2,0
1764,健忘多梦,Jian Wang Duo Meng,健忘多梦，指记忆力减退、遇事善忘，且寐中梦境纷纭、睡眠不酣之症。临床表现为昼日神思恍惚，言谈不知首尾，夜卧则梦扰不安，甚则彻夜难眠。其病机多责之心脾两虚，气血不足，心神失养；或肾精亏耗，髓海空虚，脑失所充；亦可因痰火内扰，瘀血阻络，致神明不宁。,,,Ontological terms,v2,0
1765,关窍不通,Guan Qiao Bu Tong,关窍不通指人体关节、孔窍或经络枢纽之处气机阻滞、功能失常的病理状态。临床表现为关节屈伸不利、僵硬疼痛，或九窍（眼、耳、鼻、口、前后阴）闭塞不通，如目昏、耳聋、鼻塞、二便癃闭等。其病因病机多由外邪侵袭、痰瘀阻络、气血亏虚或脏腑失调，致经隧壅塞，窍道失于通利。,,,Ontological terms,v2,0
1766,关节痿软,Guan Jie Wei Ruan,关节痿软，指肢体关节弛缓无力、活动不利，甚则肌肉萎缩、不能随意运动之症。多因肝肾亏虚，精血不足，筋骨失养；或湿热浸淫，气血阻滞，筋脉弛纵；亦可由肺热叶焦，津伤及肾所致。临床常伴腰膝酸软、步履艰难，久则关节变形，属痿证范畴。,,,Ontological terms,v2,0
1767,关节肿胀,Guan Jie Zhong Zhang,"关节肿胀多见于损伤性滑膜炎，损伤性滑膜炎多因急性创伤和慢性损伤所致。当膝关节长时间单一动作超量运动之后，滑膜组织充血水肿,急性外伤包括有：膝关节扭伤、半月板损伤、侧副韧带或交叉韧带损伤，关节内积液或有时积血，表现为急性膝关节外伤性滑膜炎。 有时也可因单纯膝关节滑膜损伤所致，如外伤较轻，或长期慢性膝关节劳损。加上风、寒、湿邪侵袭，可使膝关节逐渐出现肿胀和功能障碍者，则形成慢性膝关节滑膜炎。",,,Ontological terms,v2,0
1768,关节酸,Guan Jie Suan,关节酸，指患者自觉关节部位酸楚不适、绵绵不休，常伴乏力、沉重感，活动后或遇寒湿加重，得温按稍缓。其病机多责之肝肾不足、气血亏虚，筋骨失于濡养；或风寒湿邪痹阻经络，气血运行不畅，酸楚乃作。临床常见于痹证、虚劳等病，需与关节疼痛、肿胀相鉴别。,,,Ontological terms,v2,0
1769,内伤出血,Nei Shang Chu Xie,内伤出血，指因脏腑功能失调、气血逆乱所致之非外伤性出血。其血或溢于上，见咳血、吐血、衄血；或泄于下，见便血、尿血、崩漏；或渗于肌肤，见紫斑、瘀点。病机多由气虚不摄、血热妄行、瘀血阻络或阴虚火旺，致血不循经，溢于脉外。临床当辨虚实寒热，审因论治。,,,Ontological terms,v2,0
1770,冻疮,Dong Chuang,冻疮是由于寒冷引起的局限性炎症损害，冻疮是冬天的常见病，尤其是儿童、妇女及老年人，冻疮一旦发生，在寒冷季节里常较难快速治愈，要等天气转暖后才会逐渐愈合，局部小动脉发生收缩，久之动脉血管麻痹而扩张，静脉淤血，局部血液循环不良而发病。中医常根据受冻部位的不同，分别称为“水浸足”、“水浸手”、“冻烂疮”等。,,,Ontological terms,v2,0
1771,冻疮.,Dong Chuang .,冻疮是指因寒邪侵袭，气血凝滞所致，多发于手足、耳廓、面颊等暴露部位的局限性瘀血性皮肤病。临床表现为局部皮肤先呈苍白、麻木，继而红肿、焮热，遇暖则痒痛加剧，甚则出现水疱、紫暗、溃烂。其病机为寒性收引，阳气不达，气血运行涩滞，经络阻塞，肌肤失于温养。,,,Ontological terms,v2,0
1772,创伤,Chuang Shang,创伤（trauma）为机械因素加于人体所造成的组织或器官的破坏。,,,Ontological terms,v2,0
1773,劳伤腰痛,Lao Shang Yao Tong,劳伤腰痛，系因劳力过度、房室不节或久病体虚，致肾精亏损、筋骨失养，或兼气血瘀滞所致。其症多见腰部酸软隐痛，喜按喜揉，遇劳则甚，卧则减轻，常伴膝腿无力、神疲气短。病机以肾虚为本，或夹瘀血、湿浊，属本虚标实之候。,,,Ontological terms,v2,0
1774,劳热,Lao Re,劳热，病证名。虚损骨蒸发热。见《丹溪心法·发热》。《医学说约·热》：“劳热则蒸。”由气血亏损，阳衰阴虚所致。常见骨蒸潮热、五心烦热等症。五脏邪热不清亦可导致阳衰。心劳邪热，则口舌生疮、语涩、肌瘦；肝劳邪热，则胁痛、关格不通；脾劳邪热，则气急、肌痹，多汗；肺劳邪热，则气喘、面肿、口燥、咽干；肾劳邪热，则尿赤、阴疮、耳鸣、溺闭。治宜三白汤主之，心热加黄连、木通、麦冬、生地，肝热加黄芩、防风、当归、龙胆草、赤芍，脾热加山栀、石斛、升麻，肺热加知母、桑白皮、秦艽、葶苈，肾热加元参、赤苓、车前子、生地（见《医学入门》卷五）。,,,Ontological terms,v2,0
1775,历节痹痛,Li Jie Bi Tong,历节痹痛，指周身关节遍历性疼痛，甚则肿大变形、屈伸不利，痛处游走或固定不移，常伴晨僵、恶风畏寒。其病机多由风寒湿热之邪杂至，痹阻经络，气血运行不畅；或肝肾亏虚，筋骨失养，痰瘀互结所致。,,,Ontological terms,v2,0
1776,历节风痛,Li Jie Feng Tong,历节风痛，指周身关节游走性疼痛、肿胀、屈伸不利，甚则痛如虎啮、关节变形之证。其病多由肝肾亏虚，营卫不和，复感风寒湿邪，郁而化热，或素体湿热内蕴，外邪引动，致气血痹阻，经脉不通。临床以关节红肿灼痛、游走不定、遇寒加重或得热稍缓为特征，常伴发热、汗出、口渴等症。,,,Ontological terms,v2,0
1777,原发性血小板减少性紫癜,Yuan Fa Xing Xie Xiao Ban Jian Shao Xing Zi Dian,"原发性血小板减少性紫癜（Idiopathic thrombocytopenic purpura,ITP)是一种免疫性综合病征，是常见的出血性疾病。特点是血循环中存在抗血小板抗体，使血小板破坏过多，引起紫癜；而骨髓中巨核细胞正常或增多，幼稚化。临床上可分为急性及慢性两种，二者发病机理及表现有显著不同。",,,Ontological terms,v2,0
1778,发痧,Fa Sha,发痧，又称痧证，系因感受秽浊不正之气或暑湿疫毒，致气机闭塞、血运不畅，壅遏经络脏腑所致。临床以突发头昏胸闷、恶心欲呕、脘腹痞胀、四肢酸楚或麻木、肌肤灼热或冷汗淋漓，甚则神昏肢厥、指甲青紫为特征。其证多属实证、热证，或兼夹湿浊，重者可见痧筋显露，刮痧后皮肤出现紫红痧点。,,,Ontological terms,v2,0
1779,发背,Fa Bei,发背，痈疽之生于脊背部位的，统称“发背”，属督脉及足太阳膀胱经，系火毒内蕴所致。分阴证和阳证两类，阳证又叫“发背痈”或叫“背痈”。阴证又叫“发背疽”。阳证多因感受六淫所引发，起初有一、二个疮头，数天后迅速高肿，大如手掌，甚如碗口，红肿剧痛，伴有高热，烦渴，脉洪数等。阴证多因七情内伤，膏粱厚昧，醇酒炙博，火毒郁积而成。初起疮头如粟，根盘散漫，不甚高肿，色不红活，疼痛稍轻，伴有烦闷，口渴，便秘，尿赤，脉细无力等。数天后疮头甚多，上有脓点，形如莲蓬，故又称“莲蓬发”，或称“蜂窝疽”。疮头脓稠难溃，按之流血，至八、九日，溃头成片，脓腐渐出，很久才能收口。本病由于所发部位不同，而有多种名称，如发于上部的名“上发背”，又叫“脾肚发”；发于中部的名“中发背”，又叫“对心发”；发于下部的名“下发背”，又呻“对脐发”。,,,Ontological terms,v2,0
1780,口㖞,Kou Wai,口㖞，指口唇向一侧歪斜，不能随意回正之症。临床多伴见额纹消失、眼睑闭合不全、鼻唇沟变浅、鼓腮漏气、饮食漏涎等。其病机多属风邪中络，或内风挟痰阻于阳明、少阳经脉，致气血痹阻，筋脉失养而弛缓不收；亦有因气血亏虚、络脉空虚，外风乘虚而入者。,,,Ontological terms,v2,0
1781,口眼㖞斜,Kou Yan Wai Xie,口眼㖞斜，指一侧目睛闭合不全、口角歪向对侧之症。多由风邪中络，或肝风内动，痰瘀阻络所致。临床可见患侧额纹消失、眼裂扩大、鼻唇沟变浅、鼓腮漏气、咀嚼不利，甚则流涎。病位在头面经络，涉及阳明、少阳经筋。,,,Ontological terms,v2,0
1782,口眼喝斜,Kou Yan He Xie,口眼喝斜，指一侧口角及眼睑歪斜、闭合不全之症。临床表现为患侧额纹消失，眼裂增大，不能闭合，鼻唇沟变浅，口角向健侧歪斜，鼓腮漏气，进食时食物易滞留于齿颊间。其病机多因风邪中络，或肝风内动，痰瘀阻络，致气血痹阻，经筋失养，弛缓不收。常见于中风病及面瘫。,,,Ontological terms,v2,0
1783,口眼干燥综合征,Kou Yan Gan Zao Zong He Zheng,口眼干燥综合征，系指津液输布失常，口、眼等孔窍失于濡润，表现为口干欲饮、频频饮水不解，眼干涩、视物模糊，甚则泪液、唾液分泌显著减少，常伴鼻腔干燥、皮肤干涩、大便干结等症。其病机多属阴虚津亏，或燥热伤津，亦可因气不布津、湿阻气机所致，病位涉及肺、脾、胃、肝、肾诸脏。,,,Ontological terms,v2,0
1784,口蜗,Kou Gua,口蜗，指口唇周围肌肉抽动、收缩，状如蜗牛蠕动之象。其症多见于唇周筋肉不自主、频繁或阵发性掣动，甚则牵引面颊。多因风邪外袭，客于阳明经脉；或肝风内动，上扰唇口；亦可见于脾虚生风，津液不濡所致。,,,Ontological terms,v2,0
1785,口,Kou ,口，证名。亦称口僻。口唇歪斜于一侧。出《灵枢·经脉》。多由风寒阻滞经脉所致。《诸病源候论·风口候》：“风邪入于足阳明手太阳之经，遇寒则筋急引颊，故使口僻，言语不正，而目不能平视。《金匮翼》卷一：“风入耳中，亦令口。缘坐卧处对耳有窍，为风所中，筋牵过一边。”治以祛风散寒，通络活血为主。亦可用外敷法。,,,Ontological terms,v2,0
1786,后重,Hou Zhong,后重，①病名。即大瘕泄。《难经·五十七难》：“有大瘕泄，名曰后重。”详大瘕泄条。,,,Ontological terms,v2,0
1787,吐泻转筋,Tu Xie Zhuan Jin,吐泻转筋，指以剧烈呕吐、泄泻，并伴见四肢筋脉挛急、抽搐，甚则转筋入腹为特征之症候。多因暴吐暴泻，津液骤失，筋脉失于濡养；或寒湿、湿热秽浊之邪壅滞中焦，气机逆乱，气血不行，筋脉拘急所致。常见于霍乱、急性胃肠炎等病。,,,Ontological terms,v2,0
1788,吐酸,Tu Suan,呕吐，吐岀物为酸水，或吐出物中兼有酸水。,胃肠,胃热、脾胃虚寒、肝郁化火,Ontological terms,v2,0
1789,呕吐呃逆,Ou Tu E Ni,呕吐呃逆，指胃气上逆所致之呕吐与呃逆并见。呕吐为胃失和降，气逆于上，迫使胃内容物从口而出；呃逆乃膈间气机不利，气逆上冲，喉间呃呃连声，声短而频。二者常因外感寒邪、饮食不节、情志失调或久病胃虚，致胃气壅滞或虚气上逆，动膈冲咽而发。临床可见恶心呕物、呃声急促，伴脘腹胀满、纳呆等症。,,,Ontological terms,v2,0
1790,呕吐腹痛,Ou Tu Fu Tong,呕吐腹痛，指胃气上逆而致呕吐，并伴腹部疼痛之症候。其临床表现常为呕吐频作，或吐酸苦水、或吐宿食，腹痛或胀或痛，痛势或急或缓，拒按或喜温。病机多因外邪犯胃、饮食不节、情志失调或脾胃虚寒，致胃失和降，气机逆乱，腑气不通，不通则痛。,,,Ontological terms,v2,0
1791,呕哕,Ou Yue,呕哕，指胃气上逆，有声无物谓之哕，有声有物谓之呕，二者常并见，故合称呕哕。临床表现为喉间呃呃连声，或伴恶心、呕吐胃内容物。其病机多由外邪犯胃、饮食不节、情志失调或脾胃虚弱，致胃失和降，气逆于上。,,,Ontological terms,v2,0
1792,呕逆吐酸,Ou Ni Tu Suan,呕逆吐酸，指胃气上逆，口中泛吐酸水或酸腐之物，甚则伴有干呕、嗳气之症。其临床表现以呕吐酸水、脘胁胀痛、嘈杂不适为主，常因肝郁化火、横逆犯胃，或饮食不节、积滞内停，致胃失和降、酸浊上泛。病机多属肝胃郁热或食积化热，久则可见脾胃虚寒、浊气上逆之变。,,,Ontological terms,v2,0
1793,咯吐不出,Ge Tu Bu Chu,咯吐不出，指痰涎或异物阻于喉间、气道，虽欲咯出而难以排出之状。临床表现为患者自觉喉中痰阻，频频清嗓或用力咯咳，但痰液黏着难出，或仅能咯出少量黏涎。其病机多因肺燥津亏，痰液稠厚而胶着；或脾虚湿盛，痰浊内蕴，气机不利；亦有因外邪束肺，肺失宣肃，痰气交阻所致。,,,Ontological terms,v2,0
1794,咳喘痰多,Ke Chuan Tan Duo,咳喘痰多，指咳嗽、气喘并见，且痰涎壅盛、量多易出或难出之候。临床表现为咳声重浊，气促喘息，喉中痰鸣，咯吐痰液或清稀或稠厚。其病机多因脾失健运，水湿内停，聚而生痰，上渍于肺；或外邪束表，肺失宣肃，津液不布，酿痰阻气。痰浊壅肺，肺气上逆，故见咳喘痰多。,,,Ontological terms,v2,0
1795,咳嗽气喘,Ke Sou Qi Chuan,咳嗽气喘，指肺气失于宣降，上逆而作咳，并伴呼吸急促、气息不续之候。临床以咳声频作、气促难平、甚则张口抬肩、喉中痰鸣为特征。其病机多因外邪袭肺、痰浊阻肺、肝火犯肺或久病肺肾两虚，致肺气壅塞或肾不纳气，气机升降失常。,,,Ontological terms,v2,0
1796,咳痰,Ke Tan,"痰是气管、支气管的分泌物或肺泡内的渗出物，并不包括口、鼻、咽喉的黏液。咳痰是呼吸道内的病理分泌物借助于支气管粘膜上皮细胞的纤毛运动、支气管平滑肌的收缩及咳嗽时的气流冲动，将呼吸道内的分泌物从口腔排除的动作。简单而言是：咳嗽伴有痰液时称为咳痰, 也叫湿性咳嗽，相对的是干性咳嗽(俗称干咳, 指无痰或痰量甚少的咳嗽)。咳痰常见于肺炎、慢性咽炎、慢性支气管炎、支气管扩张、肺脓肿与空洞型肺结核等疾病。",,,Ontological terms,v2,0
1797,咳逆,Ke Ni,咳逆，证名。咳嗽而气上逆者。出《素问·六元正纪大论》。《诸病源候论·咳逆候》：“咳逆者，是咳嗽而气逆上也。”“咳病由肺虚感微寒所成，寒搏于气，气不得宣，胃逆聚还肺，肺则胀满，气遂不下，故为咳逆。”证见咳嗽吐痰，或气喘喉中有水鸡声等。《金匮要略·肺痿肺痈咳嗽上气病脉证并治》：“咳逆上气，时时唾浊，但坐不得眠，皂荚丸主之。”又：“咳而上气，喉中水鸡声，射干麻黄汤主之。”《肘后备急方》卷三：“治小儿大人咳逆，短气，胸中吸吸，咳出涕唾，嗽出臭脓涕粘，淡竹沥一合，日三五服，大人一升。”参见咳嗽条。,,,Ontological terms,v2,0
1798,咽喉干痛,Yan Hou Gan Tong,咽喉干痛，指咽喉部干燥不适，伴灼热、刺痛或异物感，甚则吞咽不利。多因外感风热燥邪，或肺胃郁热上蒸，或阴虚津亏，虚火上炎所致。其病机总属津液不足，咽喉失于濡润，或火热上灼，气机不利。临床当辨虚实，实者多兼红肿，虚者常伴干痒。,,,Ontological terms,v2,0
1799,咽喉炎,Yan Hou Yan,咽喉炎，是由细菌引起的一种疾病，可分为急性咽喉炎和慢性咽喉炎两种。,,,Ontological terms,v2,0
1800,咽肿,Yan Zhong,咽肿，病证名。即咽喉肿痛。出《灵枢·经脉》。详该条。,,,Ontological terms,v2,0
1801,喉痹乳蛾,Hou Bi Ru E,喉痹乳蛾，系指咽喉部红肿疼痛，甚则喉核（扁桃体）肿大如乳头或蚕蛾，或表面有黄白脓点，吞咽不利，伴发热、咽干、咳嗽等症。其病位在咽喉，病性多属热毒壅盛或阴虚火旺。病因多由外感风热邪毒，或肺胃积热上攻，或虚火上炎所致。病机为邪热结于咽喉，气血壅滞，腐肉成脓。,,,Ontological terms,v2,0
1802,喉痹肿痛,Hou Bi Zhong Tong,喉痹肿痛，指咽喉部红肿疼痛，甚则吞咽不利、呼吸不畅之症。其病位在咽喉，属肺胃所主。多因风热外袭，肺失清肃，热毒壅结咽喉；或过食辛热炙煿，胃火炽盛，上灼喉窍；亦有阴虚火旺，虚火上炎所致者。临床常伴咽干灼热、声音嘶哑、咳嗽痰黄等症。,,,Ontological terms,v2,0
1803,喉肿痛,Hou Zhong Tong,喉肿痛，指咽喉部红肿疼痛之症，甚则吞咽不利、呼吸欠畅。多因外感风热或肺胃蕴热，上攻咽喉，热毒壅滞，气血不畅所致；亦可由阴虚火旺，虚火上炎而发。临床当辨其虚实，实者肿痛剧烈，多伴发热；虚者痛势绵绵，咽干微红。,,,Ontological terms,v2,0
1804,喉风,Hou Feng,喉风，病名。系咽喉肿痛等多种疾患的泛称。见《秘传证治要诀及类方》。《喉科心法》卷上：“考古称喉症，总其名曰喉风。”历代文献对喉风的记载颇多。如《喉科秘旨》载有十二证。《喉科杓指》载有十六证。《喉证全科紫珍集》载有十八证：《重楼玉钥》载有三十六证。根据病因病机之不同又可分为酒毒喉风、阴虚喉风、肺寒喉风、劳碌喉风等。根据发病后喉间颜色不同又分为紫色喉风、淡红喉风、白色喉风等。根据发病急慢又分为急喉风、慢喉风、走马喉风等。根据症状不同又分为紧喉风、呛食喉风、脚根喉风、哑瘴喉风、叉喉风等。喉风主要的病因是风热搏结于外，火毒炽盛于内，肺失清肃，火动痰生，痰火邪毒停聚咽喉所致。各种喉风的证治详见有关各条。,,,Ontological terms,v2,0
1805,噎膈,Ye Ge,因气、痰、瘀交结，阻隔于食管所致。以进食哽噎不顺或食不得入，或食入即吐，甚则因噎废食为特征,食管、胃,痰气交阻、津亏热结、 瘀血内结、气虚阳微,Ontological terms,v2,0
1806,噤口,Jin Kou,口唇痉挛，失去饮食功能的一种病证。就是初生儿的口噤不开。又称“噤风” 。其症状主要是口上生疮如米粒，不能吮乳，哭啼声音低弱，牙关紧闭，二便不通。应与脐风相鉴别。口舌生疮为其特点。否则，应考虑为脐风(新生儿破伤风)，以免贻误治疗。,,,Ontological terms,v2,0
1807,四肢抽搐,Si Zhi Chou Chu,"四肢抽搐系指各种原因引起之四肢不随意抽动。一切四肢不能自主控制的抽搐、牵动,或屈伸不已,均属於抽搐的范畴。",,,Ontological terms,v2,0
1808,四肢挛急疼痛,Si Zhi Luan Ji Teng Tong,四肢挛急疼痛，指四肢筋脉、肌肉出现拘急、抽搐、牵掣，甚则屈伸不利、强硬不舒，并伴明显疼痛之症。其状或如转筋，或如抽掣，时作时止，动则加剧。多因寒邪凝滞、气血亏虚、津液耗伤、肝血不足，致筋脉失于温煦濡养，或湿热浸淫、瘀血阻络，使经气不通而作。,,,Ontological terms,v2,0
1809,四肢痿软,Si Zhi Wei Ruan,四肢痿软，指四肢筋肉弛缓无力，甚则萎弱不用，运动功能减退或丧失之症。临床表现为上肢或下肢软弱无力，抬举、持物、步履困难，日久可见肌肉萎缩。其病机多责之于肺热津伤、湿热浸淫、脾胃虚弱或肝肾亏损，致气血津液不足，筋脉失于濡养。,,,Ontological terms,v2,0
1810,壮热烦渴,Zhuang Re Fan Ke,壮热烦渴，指高热炽盛（体温显著升高，持续不退），伴口渴引饮、烦躁不安之症。多因外感温热邪气，或伤寒化热入里，邪热亢盛，燔灼气分，耗伤津液所致。其热势壮盛，故见身大热、不恶寒；津液被灼，则口渴喜冷饮；热扰心神，故烦躁不宁。临床常见于阳明经证、气分热盛等证候。,,,Ontological terms,v2,0
